country,rate_numeric,cpi_yoy,real_policy_rate,yield_10y
Evrusvæðið,0.02,0.025,-0.004878048780487698,0.030244
Bretland,0.0375,0.03,0.00728155339805836,0.047220000000000005
Bandaríkin,0.03625,0.033,0.003146176185866434,0.04278
Kanada,0.0225,0.018000000000000002,0.004420432220039183,0.0345
Ísland,0.075,0.054000000000000006,0.01992409867172662,0.07021
Pólland,0.0375,0.03,0.00728155339805836,0.05532
Svíþjóð,0.0175,0.006,0.011431411530815172,0.02806
Sviss,0,0.003,-0.0029910269192421346,0.00437
Nýja Sjáland,0.0225,0.031,-0.008244422890397618,0.04686
Noregur,0.04,0.036000000000000004,0.0038610038610038533,0.04407
Danmörk,0.016,0.012,0.0039525691699604515,0.029009999999999998
