month,dln_cpi,cumulative_pct,pass_through_pct,shock_pct,duration
0,0.0038323656663794,0.38323656663794,4.020940548268168,+10%,1 month
1,0.005409350796067835,0.9241716462447236,9.696463149498612,+10%,1 month
2,-0.006414647270249622,0.2827069192197613,2.966177587747377,+10%,1 month
3,-8.380546850007693e-4,0.19890145071968438,2.0868856939314973,+10%,1 month
4,-1.9555955473196082e-4,0.1793454952464883,1.8817034614213375,+10%,1 month
5,-1.1627467077173149e-4,0.16771802816931514,1.7597073944634876,+10%,1 month
6,-1.0159428764097316e-4,0.15755859940521783,1.653114071641571,+10%,1 month
7,-9.462136582477516e-5,0.14809646282274033,1.553836779311375,+10%,1 month
8,-8.884543652488768e-5,0.13921191917025155,1.4606196258999657,+10%,1 month
9,-8.350479382345526e-5,0.13086143978790601,1.3730059061536664,+10%,1 month
10,-7.849463098071903e-5,0.1230119766898341,1.290648878665237,+10%,1 month
11,-7.378614797366128e-5,0.11563336189246798,1.2132320191806083,+10%,1 month
12,-6.936022519145999e-5,0.10869733937332199,1.140458863853592,+10%,1 month
0,0.0038323656663794,0.38323656663794,4.020940548268168,+10%,2 month
1,0.009241716462447236,1.3074082128826636,13.71740369776678,+10%,2 month
2,-0.0010052964741817843,1.2068785654644851,12.662640737245992,+10%,2 month
3,-0.00725270195525039,0.4816083699394461,5.053063281678879,+10%,2 month
4,-0.0010336142397327302,0.3782469459661731,3.9685891553528383,+10%,2 month
5,-3.118342255036925e-4,0.3470635234158038,3.641410855884829,+10%,2 month
6,-2.1786895841270488e-4,0.3252766275745333,3.412821466105062,+10%,2 month
7,-1.9621565346574852e-4,0.30565506222795846,3.206950850952949,+10%,2 month
8,-1.8346680234966302e-4,0.2873083819929922,3.014456405211344,+10%,2 month
9,-1.7235023034834312e-4,0.27007335895815787,2.8336255320536354,+10%,2 month
10,-1.619994248041745e-4,0.25387341647774037,2.663654784818906,+10%,2 month
11,-1.522807789543805e-4,0.23864533858230236,2.5038808978458484,+10%,2 month
12,-1.4314637316512144e-4,0.2243307012657902,2.353690883034203,+10%,2 month
0,0.0038323656663794,0.38323656663794,4.020940548268168,+10%,3 month
1,0.009241716462447236,1.3074082128826636,13.71740369776678,+10%,3 month
2,0.0028270691921976157,1.5901151321024252,16.68358128551416,+10%,3 month
3,-0.0018433511591825534,1.4057800161841698,14.749526431177493,+10%,3 month
4,-0.007448261509982352,0.6609538651859346,6.934766743100218,+10%,3 month
5,-0.001149888910504462,0.5459649741354884,5.728296549816328,+10%,3 month
6,-4.1342851314466584e-4,0.5046221228210218,5.294524927526402,+10%,3 month
7,-3.1249032423748014e-4,0.4733730903972738,4.966658245416439,+10%,3 month
8,-2.850610899906363e-4,0.4448669813982102,4.667570476852917,+10%,3 month
9,-2.669715961731184e-4,0.41816982178089834,4.387462311365012,+10%,3 month
10,-2.5084486132906223e-4,0.3930853356479921,4.124274410718874,+10%,3 month
11,-2.3578557277783584e-4,0.3695067783702085,3.8768868039995157,+10%,3 month
12,-2.2164100414584056e-4,0.34734267795562446,3.6443397616994417,+10%,3 month
0,0.0038323656663794,0.38323656663794,4.020940548268168,+10%,Permanent
1,0.009241716462447236,1.3074082128826636,13.71740369776678,+10%,Permanent
2,0.0028270691921976157,1.5901151321024252,16.68358128551416,+10%,Permanent
3,0.001989014507196846,1.7890165828221096,18.770466979445658,+10%,Permanent
4,0.0017934549524648853,1.9683620780685984,20.652170440867003,+10%,Permanent
5,0.0016771802816931535,2.1360801062379133,22.411877835330486,+10%,Permanent
6,0.0015755859940521804,2.2936387056431315,24.064991906972065,+10%,Permanent
7,0.001480964628227405,2.4417351684658724,25.61882868628344,+10%,Permanent
8,0.0013921191917025172,2.580947087636124,27.07944831218341,+10%,Permanent
9,0.0013086143978790618,2.7118085274240302,28.452454218337074,+10%,Permanent
10,0.0012301197668983428,2.834820504113864,29.74310309700231,+10%,Permanent
